FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
180101;0100;11;;;
180101;0200;12;;;
180101;0300;8;;;
180101;0400;5;;;
180101;0500;5;;;
180101;0600;3;;;
180101;0700;3;;;
180101;0800;8;;;
180101;0900;8;;;
180101;1000;14;;;
180101;1100;11;;;
180101;1200;11;;;
180101;1300;10;;;
180101;1400;12;;;
180101;1500;10;;;
180101;1600;8;;;
180101;1700;10;;;
180101;1800;13;;;
180101;1900;27;;;
180101;2000;18;;;
180101;2100;19;;;
180101;2200;18;;;
180101;2300;10;;;
180102;0000;11;;;
180102;0100;8;;;
180102;0200;5;;;
180102;0300;8;;;
180102;0400;7;;;
180102;0500;5;;;
180102;0600;16;;;
180102;0700;7;;;
180102;0800;7;;;
180102;0900;11;;;
180102;1000;8;;;
180102;1100;7;;;
180102;1200;10;;;
180102;1300;8;;;
180102;1400;5;;;
180102;1500;5;;;
180102;1600;8;;;
180102;1700;10;;;
180102;1800;9;;;
180102;1900;10;;;
180102;2000;22;;;
180102;2100;12;;;
180102;2200;9;;;
180102;2300;5;;;
180103;0000;5;;;
180103;0100;17;;;
180103;0200;11;;;
180103;0300;10;;;
180103;0400;6;;;
180103;0500;4;;;
180103;0600;8;;;
180103;0700;26;;;
180103;0800;28;;;
180103;0900;19;;;
180103;1000;10;;;
180103;1100;8;;;
180103;1200;12;;;
180103;1300;11;;;
180103;1400;10;;;
180103;1500;12;;;
180103;1600;10;;;
180103;1700;8;;;
180103;1800;9;;;
180103;1900;11;;;
180103;2000;11;;;
180103;2100;15;;;
180103;2200;12;;;
180103;2300;9;;;
180104;0000;8;;;
180104;0100;8;;;
180104;0200;6;;;
180104;0300;4;;;
180104;0400;8;;;
180104;0500;8;;;
180104;0600;11;;;
180104;0700;20;;;
180104;0800;14;;;
180104;0900;14;;;
180104;1000;30;;;
180104;1100;23;;;
180104;1200;6;;;
180104;1300;12;;;
180104;1400;11;;;
180104;1500;14;;;
180104;1600;16;;;
180104;1700;16;;;
180104;1800;8;;;
180104;1900;;;;
180104;2000;29;;;
180104;2100;29;;;
180104;2200;22;;;
180104;2300;10;;;
180105;0000;8;;;
180105;0100;6;;;
180105;0200;1;;;
180105;0300;4;;;
180105;0400;3;;;
180105;0500;3;;;
180105;0600;16;;;
180105;0700;12;;;
180105;0800;16;;;
180105;0900;8;;;
180105;1000;10;;;
180105;1100;9;;;
180105;1200;8;;;
180105;1300;8;;;
180105;1400;8;;;
180105;1500;8;;;
180105;1600;8;;;
180105;1700;7;;;
180105;1800;7;;;
180105;1900;19;;;
180105;2000;17;;;
180105;2100;19;;;
180105;2200;15;;;
180105;2300;16;;;
180106;0000;8;;;
180106;0100;9;;;
180106;0200;7;;;
180106;0300;6;;;
180106;0400;6;;;
180106;0500;4;;;
180106;0600;5;;;
180106;0700;8;;;
180106;0800;16;;;
180106;0900;8;;;
180106;1000;12;;;
180106;1100;12;;;
180106;1200;10;;;
180106;1300;7;;;
180106;1400;4;;;
180106;1500;7;;;
180106;1600;11;;;
180106;1700;8;;;
180106;1800;14;;;
180106;1900;10;;;
180106;2000;18;;;
180106;2100;20;;;
180106;2200;13;;;
180106;2300;15;;;
180107;0000;8;;;
180107;0100;7;;;
180107;0200;4;;;
180107;0300;8;;;
180107;0400;8;;;
180107;0500;7;;;
180107;0600;4;;;
180107;0700;4;;;
180107;0800;7;;;
180107;0900;13;;;
180107;1000;8;;;
180107;1100;8;;;
180107;1200;9;;;
180107;1300;8;;;
180107;1400;7;;;
180107;1500;7;;;
180107;1600;7;;;
180107;1700;6;;;
180107;1800;7;;;
180107;1900;12;;;
180107;2000;8;;;
180107;2100;5;;;
180107;2200;3;;;
180107;2300;6;;;
180108;0000;7;;;
180108;0100;6;;;
180108;0200;4;;;
180108;0300;3;;;
180108;0400;4;;;
180108;0500;15;;;
180108;0600;9;;;
180108;0700;14;;;
180108;0800;6;;;
180108;0900;4;;;
180108;1000;3;;;
180108;1100;3;;;
180108;1200;5;;;
180108;1300;5;;;
180108;1400;5;;;
180108;1500;7;;;
180108;1600;8;;;
180108;1700;6;;;
180108;1800;3;;;
180108;1900;6;;;
180108;2000;5;;;
180108;2100;5;;;
180108;2200;4;;;
180108;2300;7;;;
180109;0000;7;;;
180109;0100;5;;;
180109;0200;4;;;
180109;0300;3;;;
180109;0400;3;;;
180109;0500;3;;;
180109;0600;4;;;
180109;0700;19;;;
180109;0800;7;;;
180109;0900;8;;;
180109;1000;6;;;
180109;1100;5;;;
180109;1200;3;;;
180109;1300;5;;;
180109;1400;5;;;
180109;1500;1;;;
180109;1600;5;;;
180109;1700;6;;;
180109;1800;5;;;
180109;1900;3;;;
180109;2000;8;;;
180109;2100;12;;;
180109;2200;8;;;
180109;2300;10;;;
180110;0000;7;;;
180110;0100;5;;;
180110;0200;4;;;
180110;0300;6;;;
180110;0400;5;;;
180110;0500;19;;;
180110;0600;22;;;
180110;0700;7;;;
180110;0800;8;;;
180110;0900;12;;;
180110;1000;8;;;
180110;1100;5;;;
180110;1200;4;;;
180110;1300;5;;;
180110;1400;5;;;
180110;1500;3;;;
180110;1600;1;;;
180110;1700;1;;;
180110;1800;4;;;
180110;1900;7;;;
180110;2000;8;;;
180110;2100;7;;;
180110;2200;5;;;
180110;2300;6;;;
180111;0000;7;;;
180111;0100;4;;;
180111;0200;7;;;
180111;0300;7;;;
180111;0400;4;;;
180111;0500;5;;;
180111;0600;7;;;
180111;0700;5;;;
180111;0800;7;;;
180111;0900;8;;;
180111;1000;7;;;
180111;1100;4;;;
180111;1200;3;;;
180111;1300;4;;;
180111;1400;3;;;
180111;1500;3;;;
180111;1600;6;;;
180111;1700;7;;;
180111;1800;5;;;
180111;1900;7;;;
180111;2000;3;;;
180111;2100;1;;;
180111;2200;4;;;
180111;2300;3;;;
180112;0000;1;;;
180112;0100;3;;;
180112;0200;3;;;
180112;0300;1;;;
180112;0400;3;;;
180112;0500;3;;;
180112;0600;7;;;
180112;0700;8;;;
180112;0800;8;;;
180112;0900;4;;;
180112;1000;6;;;
180112;1100;11;;;
180112;1200;13;;;
180112;1300;11;;;
180112;1400;8;;;
180112;1500;8;;;
180112;1600;;;;
180112;1700;;;;
180112;1800;;;;
180112;1900;15;;;
180112;2000;21;;;
180112;2100;23;;;
180112;2200;14;;;
180112;2300;14;;;
180113;0000;19;;;
180113;0100;19;;;
180113;0200;5;;;
180113;0300;5;;;
180113;0400;7;;;
180113;0500;5;;;
180113;0600;4;;;
180113;0700;7;;;
180113;0800;6;;;
180113;0900;7;;;
180113;1000;6;;;
180113;1100;7;;;
180113;1200;7;;;
180113;1300;3;;;
180113;1400;6;;;
180113;1500;5;;;
180113;1600;4;;;
180113;1700;10;;;
180113;1800;8;;;
180113;1900;10;;;
180113;2000;19;;;
180113;2100;30;;;
180113;2200;27;;;
180113;2300;19;;;
180114;0000;10;;;
180114;0100;18;;;
180114;0200;9;;;
180114;0300;7;;;
180114;0400;7;;;
180114;0500;8;;;
180114;0600;13;;;
180114;0700;7;;;
180114;0800;3;;;
180114;0900;7;;;
180114;1000;4;;;
180114;1100;2;;;
180114;1200;2;;;
180114;1300;7;;;
180114;1400;5;;;
180114;1500;3;;;
180114;1600;4;;;
180114;1700;4;;;
180114;1800;4;;;
180114;1900;7;;;
180114;2000;7;;;
180114;2100;15;;;
180114;2200;15;;;
180114;2300;7;;;
180115;0000;26;;;
180115;0100;19;;;
180115;0200;9;;;
180115;0300;7;;;
180115;0400;5;;;
180115;0500;13;;;
180115;0600;28;;;
180115;0700;13;;;
180115;0800;7;;;
180115;0900;7;;;
180115;1000;5;;;
180115;1100;6;;;
180115;1200;6;;;
180115;1300;4;;;
180115;1400;4;;;
180115;1500;4;;;
180115;1600;4;;;
180115;1700;4;;;
180115;1800;4;;;
180115;1900;7;;;
180115;2000;7;;;
180115;2100;6;;;
180115;2200;8;;;
180115;2300;6;;;
180116;0000;6;;;
180116;0100;5;;;
180116;0200;6;;;
180116;0300;7;;;
180116;0400;2;;;
180116;0500;1;;;
180116;0600;5;;;
180116;0700;6;;;
180116;0800;9;;;
180116;0900;8;;;
180116;1000;7;;;
180116;1100;8;;;
180116;1200;7;;;
180116;1300;4;;;
180116;1400;7;;;
180116;1500;7;;;
180116;1600;8;;;
180116;1700;7;;;
180116;1800;7;;;
180116;1900;9;;;
180116;2000;22;;;
180116;2100;10;;;
180116;2200;7;;;
180116;2300;5;;;
180117;0000;5;;;
180117;0100;4;;;
180117;0200;4;;;
180117;0300;3;;;
180117;0400;1;;;
180117;0500;6;;;
180117;0600;6;;;
180117;0700;7;;;
180117;0800;8;;;
180117;0900;11;;;
180117;1000;24;;;
180117;1100;11;;;
180117;1200;7;;;
180117;1300;4;;;
180117;1400;7;;;
180117;1500;7;;;
180117;1600;7;;;
180117;1700;15;;;
180117;1800;7;;;
180117;1900;9;;;
180117;2000;;;;
180117;2100;;;;
180117;2200;13;;;
180117;2300;11;;;
180118;0000;7;;;
180118;0100;3;;;
180118;0200;3;;;
180118;0300;4;;;
180118;0400;1;;;
180118;0500;1;;;
180118;0600;3;;;
180118;0700;4;;;
180118;0800;7;;;
180118;0900;8;;;
180118;1000;8;;;
180118;1100;9;;;
180118;1200;12;;;
180118;1300;8;;;
180118;1400;7;;;
180118;1500;8;;;
180118;1600;9;;;
180118;1700;14;;;
180118;1800;14;;;
180118;1900;10;;;
180118;2000;11;;;
180118;2100;11;;;
180118;2200;7;;;
180118;2300;5;;;
180119;0000;7;;;
180119;0100;7;;;
180119;0200;5;;;
180119;0300;5;;;
180119;0400;7;;;
180119;0500;7;;;
180119;0600;10;;;
180119;0700;16;;;
180119;0800;3;;;
180119;0900;8;;;
180119;1000;7;;;
180119;1100;5;;;
180119;1200;5;;;
180119;1300;7;;;
180119;1400;6;;;
180119;1500;3;;;
180119;1600;;;;
180119;1700;;;5;
180119;1800;;;7;
180119;1900;;;3;
180119;2000;;;1;
180119;2100;;;1;
180119;2200;;;1;
180119;2300;;;1;
180120;0000;;;5;
180120;0100;;;4;
180120;0200;;;1;
180120;0300;;;4;
180120;0400;;;3;
180120;0500;;;4;
180120;0600;;;3;
180120;0700;;;3;
180120;0800;;;2;
180120;0900;;;1;
180120;1000;;;3;
180120;1100;;;3;
180120;1200;;;5;
180120;1300;;;4;
180120;1400;;;;
180120;1500;;;3;
180120;1600;;;2;
180120;1700;;;1;
180120;1800;;;1;
180120;1900;;;1;
180120;2000;;;1;
180120;2100;;;1;
180120;2200;;;1;
180120;2300;;;1;
180121;0000;;;1;
180121;0100;;;1;
180121;0200;;;1;
180121;0300;;;4;
180121;0400;;;3;
180121;0500;;;1;
180121;0600;;;4;
180121;0700;;;6;
180121;0800;;;4;
180121;0900;;;1;
180121;1000;;;1;
180121;1100;;;2;
180121;1200;;;1;
180121;1300;;;3;
180121;1400;;;3;
180121;1500;;;1;
180121;1600;;;1;
180121;1700;;;1;
180121;1800;;;1;
180121;1900;;;1;
180121;2000;;;3;
180121;2100;;;1;
180121;2200;;;1;
180121;2300;;;1;
180122;0000;;;1;
180122;0100;;;1;
180122;0200;;;1;
180122;0300;;;1;
180122;0400;;;3;
180122;0500;;;1;
180122;0600;;;3;
180122;0700;;;3;
180122;0800;;;1;
180122;0900;;;1;
180122;1000;;;3;
180122;1100;;;3;
180122;1200;;;1;
180122;1300;;;1;
180122;1400;;;4;
180122;1500;;;3;
180122;1600;;;1;
180122;1700;;;1;
180122;1800;;;3;
180122;1900;;;3;
180122;2000;;;3;
180122;2100;;;;
180122;2200;17;;;
180122;2300;14;;;
180123;0000;10;;;
180123;0100;9;;;
180123;0200;7;;;
180123;0300;7;;;
180123;0400;3;;;
180123;0500;14;;;
180123;0600;11;;;
180123;0700;14;;;
180123;0800;10;;;
180123;0900;7;;;
180123;1000;8;;;
180123;1100;7;;;
180123;1200;6;;;
180123;1300;4;;;
180123;1400;5;;;
180123;1500;5;;;
180123;1600;7;;;
180123;1700;5;;;
180123;1800;5;;;
180123;1900;7;;;
180123;2000;26;;;
180123;2100;22;;;
180123;2200;23;;;
180123;2300;20;;;
180124;0000;7;;;
180124;0100;7;;;
180124;0200;7;;;
180124;0300;7;;;
180124;0400;14;;;
180124;0500;27;;;
180124;0600;26;;;
180124;0700;14;;;
180124;0800;7;;;
180124;0900;7;;;
180124;1000;7;;;
180124;1100;6;;;
180124;1200;7;;;
180124;1300;5;;;
180124;1400;5;;;
180124;1500;5;;;
180124;1600;3;;;
180124;1700;3;;;
180124;1800;7;;;
180124;1900;7;;;
180124;2000;6;;;
180124;2100;9;;;
180124;2200;7;;;
180124;2300;7;;;
180125;0000;5;;;
180125;0100;4;;;
180125;0200;3;;;
180125;0300;2;;;
180125;0400;5;;;
180125;0500;7;;;
180125;0600;18;;;
180125;0700;12;;;
180125;0800;11;;;
180125;0900;7;;;
180125;1000;3;;;
180125;1100;5;;;
180125;1200;5;;;
180125;1300;3;;;
180125;1400;6;;;
180125;1500;4;;;
180125;1600;3;;;
180125;1700;5;;;
180125;1800;4;;;
180125;1900;4;;;
180125;2000;7;;;
180125;2100;22;;;
180125;2200;22;;;
180125;2300;4;;;
180126;0000;2;;;
180126;0100;1;;;
180126;0200;4;;;
180126;0300;5;;;
180126;0400;7;;;
180126;0500;7;;;
180126;0600;8;;;
180126;0700;7;;;
180126;0800;9;;;
180126;0900;9;;;
180126;1000;7;;;
180126;1100;7;;;
180126;1200;7;;;
180126;1300;3;;;
180126;1400;7;;;
180126;1500;5;;;
180126;1600;4;;;
180126;1700;8;;;
180126;1800;7;;;
180126;1900;7;;;
180126;2000;9;;;
180126;2100;7;;;
180126;2200;8;;;
180126;2300;7;;;
180127;0000;5;;;
180127;0100;3;;;
180127;0200;1;;;
180127;0300;1;;;
180127;0400;1;;;
180127;0500;3;;;
180127;0600;3;;;
180127;0700;5;;;
180127;0800;4;;;
180127;0900;7;;;
180127;1000;7;;;
180127;1100;6;;;
180127;1200;7;;;
180127;1300;7;;;
180127;1400;7;;;
180127;1500;7;;;
180127;1600;7;;;
180127;1700;6;;;
180127;1800;7;;;
180127;1900;8;;;
180127;2000;14;;;
180127;2100;12;;;
180127;2200;12;;;
180127;2300;13;;;
180128;0000;10;;;
180128;0100;7;;;
180128;0200;7;;;
180128;0300;7;;;
180128;0400;7;;;
180128;0500;3;;;
180128;0600;3;;;
180128;0700;7;;;
180128;0800;3;;;
180128;0900;7;;;
180128;1000;8;;;
180128;1100;7;;;
180128;1200;7;;;
180128;1300;5;;;
180128;1400;7;;;
180128;1500;7;;;
180128;1600;4;;;
180128;1700;5;;;
180128;1800;4;;;
180128;1900;7;;;
180128;2000;9;;;
180128;2100;8;;;
180128;2200;5;;;
180128;2300;6;;;
180129;0000;4;;;
180129;0100;1;;;
180129;0200;1;;;
180129;0300;1;;;
180129;0400;4;;;
180129;0500;4;;;
180129;0600;27;;;
180129;0700;8;;;
180129;0800;6;;;
180129;0900;3;;;
180129;1000;2;;;
180129;1100;3;;;
180129;1200;4;;;
180129;1300;3;;;
180129;1400;1;;;
180129;1500;1;;;
180129;1600;5;;;
180129;1700;5;;;
180129;1800;5;;;
180129;1900;2;;;
180129;2000;4;;;
180129;2100;4;;;
180129;2200;4;;;
180129;2300;4;;;
180130;0000;6;;;
180130;0100;4;;;
180130;0200;3;;;
180130;0300;3;;;
180130;0400;3;;;
180130;0500;3;;;
180130;0600;7;;;
180130;0700;11;;;
180130;0800;7;;;
180130;0900;15;;;
180130;1000;9;;;
180130;1100;10;;;
180130;1200;9;;;
180130;1300;7;;;
180130;1400;7;;;
180130;1500;7;;;
180130;1600;12;;;
180130;1700;9;;;
180130;1800;11;;;
180130;1900;15;;;
180130;2000;12;;;
180130;2100;18;;;
180130;2200;13;;;
180130;2300;7;;;
180131;0000;4;;;
180131;0100;3;;;
180131;0200;5;;;
180131;0300;3;;;
180131;0400;1;;;
180131;0500;7;;;
180131;0600;7;;;
180131;0700;15;;;
180131;0800;7;;;
180131;0900;5;;;
180131;1000;8;;;
180131;1100;7;;;
180131;1200;5;;;
180131;1300;8;;;
180131;1400;7;;;
180131;1500;8;;;
180131;1600;7;;;
180131;1700;5;;;
180131;1800;7;;;
180131;1900;8;;;
180131;2000;11;;;
180131;2100;11;;;
180131;2200;7;;;
180131;2300;7;;;
180201;0000;5;;;
180201;0100;7;;;
180201;0200;4;;;
180201;0300;2;;;
180201;0400;2;;;
180201;0500;1;;;
180201;0600;12;;;
180201;0700;11;;;
180201;0800;7;;;
180201;0900;7;;;
180201;1000;5;;;
180201;1100;4;;;
180201;1200;5;;;
180201;1300;3;;;
180201;1400;3;;;
180201;1500;4;;;
180201;1600;2;;;
180201;1700;1;;;
180201;1800;8;;;
180201;1900;7;;;
180201;2000;7;;;
180201;2100;1;;;
180201;2200;7;;;
180201;2300;7;;;
180202;0000;3;;;
180202;0100;3;;;
180202;0200;3;;;
180202;0300;1;;;
180202;0400;1;;;
180202;0500;3;;;
180202;0600;16;;;
180202;0700;9;;;
180202;0800;7;;;
180202;0900;3;;;
180202;1000;1;;;
180202;1100;3;;;
180202;1200;4;;;
180202;1300;5;;;
180202;1400;4;;;
180202;1500;4;;;
180202;1600;3;;;
180202;1700;4;;;
180202;1800;3;;;
180202;1900;5;;;
180202;2000;4;;;
180202;2100;2;;;
180202;2200;4;;;
180202;2300;4;;;
180203;0000;1;;;
180203;0100;3;;;
180203;0200;5;;;
180203;0300;7;;;
180203;0400;7;;;
180203;0500;9;;;
180203;0600;34;;;
180203;0700;9;;;
180203;0800;7;;;
180203;0900;5;;;
180203;1000;5;;;
180203;1100;7;;;
180203;1200;7;;;
180203;1300;4;;;
180203;1400;6;;;
180203;1500;5;;;
180203;1600;3;;;
180203;1700;4;;;
180203;1800;5;;;
180203;1900;4;;;
180203;2000;7;;;
180203;2100;14;;;
180203;2200;7;;;
180203;2300;11;;;
180204;0000;11;;;
180204;0100;7;;;
180204;0200;4;;;
180204;0300;3;;;
180204;0400;5;;;
180204;0500;3;;;
180204;0600;5;;;
180204;0700;5;;;
180204;0800;3;;;
180204;0900;3;;;
180204;1000;1;;;
180204;1100;6;;;
180204;1200;7;;;
180204;1300;3;;;
180204;1400;4;;;
180204;1500;3;;;
180204;1600;1;;;
180204;1700;1;;;
180204;1800;1;;;
180204;1900;2;;;
180204;2000;4;;;
180204;2100;5;;;
180204;2200;3;;;
180204;2300;1;;;
180205;0000;1;;;
180205;0100;3;;;
180205;0200;3;;;
180205;0300;3;;;
180205;0400;2;;;
180205;0500;2;;;
180205;0600;2;;;
180205;0700;7;;;
180205;0800;7;;;
180205;0900;5;;;
180205;1000;3;;;
180205;1100;2;;;
180205;1200;3;;;
180205;1300;1;;;
180205;1400;3;;;
180205;1500;2;;;
180205;1600;3;;;
180205;1700;1;;;
180205;1800;1;;;
180205;1900;3;;;
180205;2000;3;;;
180205;2100;30;;;
180205;2200;29;;;
180205;2300;9;;;
180206;0000;9;;;
180206;0100;7;;;
180206;0200;7;;;
180206;0300;7;;;
180206;0400;5;;;
180206;0500;6;;;
180206;0600;20;;;
180206;0700;16;;;
180206;0800;16;;;
180206;0900;14;;;
180206;1000;7;;;
180206;1100;5;;;
180206;1200;5;;;
180206;1300;4;;;
180206;1400;3;;;
180206;1500;6;;;
180206;1600;5;;;
180206;1700;4;;;
180206;1800;6;;;
180206;1900;8;;;
180206;2000;11;;;
180206;2100;7;;;
180206;2200;8;;;
180206;2300;7;;;
180207;0000;7;;;
180207;0100;4;;;
180207;0200;1;;;
180207;0300;3;;;
180207;0400;4;;;
180207;0500;2;;;
180207;0600;1;;;
180207;0700;3;;;
180207;0800;7;;;
180207;0900;4;;;
180207;1000;2;;;
180207;1100;7;;;
180207;1200;7;;;
180207;1300;16;;;
180207;1400;15;;;
180207;1500;8;;;
180207;1600;21;;;
180207;1700;7;;;
180207;1800;7;;;
180207;1900;13;;;
180207;2000;16;;;
180207;2100;20;;;
180207;2200;7;;;
180207;2300;7;;;
180208;0000;5;;;
180208;0100;7;;;
180208;0200;5;;;
180208;0300;3;;;
180208;0400;1;;;
180208;0500;6;;;
180208;0600;12;;;
180208;0700;8;;;
180208;0800;12;;;
180208;0900;11;;;
180208;1000;14;;;
180208;1100;15;;;
180208;1200;12;;;
180208;1300;16;;;
180208;1400;12;;;
180208;1500;8;;;
180208;1600;9;;;
180208;1700;16;;;
180208;1800;;;;
180208;1900;46;;;
180208;2000;39;;;
180208;2100;27;;;
180208;2200;18;;;
180208;2300;14;;;
180209;0000;13;;;
180209;0100;8;;;
180209;0200;7;;;
180209;0300;5;;;
180209;0400;3;;;
180209;0500;5;;;
180209;0600;23;;;
180209;0700;16;;;
180209;0800;10;;;
180209;0900;11;;;
180209;1000;10;;;
180209;1100;7;;;
180209;1200;7;;;
180209;1300;11;;;
180209;1400;16;;;
180209;1500;11;;;
180209;1600;14;;;
180209;1700;14;;;
180209;1800;26;;;
180209;1900;23;;;
180209;2000;35;;;
180209;2100;53;;;
180209;2200;38;;;
180209;2300;18;;;
180210;0000;16;;;
180210;0100;7;;;
180210;0200;23;;;
180210;0300;14;;;
180210;0400;7;;;
180210;0500;20;;;
180210;0600;38;;;
180210;0700;14;;;
180210;0800;11;;;
180210;0900;8;;;
180210;1000;8;;;
180210;1100;9;;;
180210;1200;7;;;
180210;1300;7;;;
180210;1400;8;;;
180210;1500;7;;;
180210;1600;8;;;
180210;1700;7;;;
180210;1800;6;;;
180210;1900;13;;;
180210;2000;22;;;
180210;2100;43;;;
180210;2200;15;;;
180210;2300;75;;;
180211;0000;107;;;
180211;0100;48;;;
180211;0200;31;;;
180211;0300;7;;;
180211;0400;11;;;
180211;0500;15;;;
180211;0600;15;;;
180211;0700;14;;;
180211;0800;10;;;
180211;0900;8;;;
180211;1000;9;;;
180211;1100;7;;;
180211;1200;5;;;
180211;1300;4;;;
180211;1400;8;;;
180211;1500;7;;;
180211;1600;4;;;
180211;1700;3;;;
180211;1800;4;;;
180211;1900;7;;;
180211;2000;20;;;
180211;2100;20;;;
180211;2200;9;;;
180211;2300;19;;;
180212;0000;23;;;
180212;0100;7;;;
180212;0200;3;;;
180212;0300;1;;;
180212;0400;3;;;
180212;0500;3;;;
180212;0600;5;;;
180212;0700;9;;;
180212;0800;9;;;
180212;0900;7;;;
180212;1000;5;;;
180212;1100;1;;;
180212;1200;1;;;
180212;1300;1;;;
180212;1400;1;;;
180212;1500;1;;;
180212;1600;1;;;
180212;1700;1;;;
180212;1800;1;;;
180212;1900;1;;;
180212;2000;7;;;
180212;2100;12;;;
180212;2200;7;;;
180212;2300;6;;;
180213;0000;5;;;
180213;0100;4;;;
180213;0200;3;;;
180213;0300;3;;;
180213;0400;3;;;
180213;0500;1;;;
180213;0600;8;;;
180213;0700;9;;;
180213;0800;8;;;
180213;0900;8;;;
180213;1000;7;;;
180213;1100;4;;;
180213;1200;1;;;
180213;1300;1;;;
180213;1400;1;;;
180213;1500;1;;;
180213;1600;1;;;
180213;1700;3;;;
180213;1800;3;;;
180213;1900;2;;;
180213;2000;3;;;
180213;2100;3;;;
180213;2200;6;;;
180213;2300;4;;;
180214;0000;2;;;
180214;0100;2;;;
180214;0200;1;;;
180214;0300;1;;;
180214;0400;1;;;
180214;0500;5;;;
180214;0600;3;;;
180214;0700;11;;;
180214;0800;7;;;
180214;0900;5;;;
180214;1000;7;;;
180214;1100;7;;;
180214;1200;7;;;
180214;1300;7;;;
180214;1400;3;;;
180214;1500;2;;;
180214;1600;12;;;
180214;1700;7;;;
180214;1800;17;;;
180214;1900;30;;;
180214;2000;18;;;
180214;2100;12;;;
180214;2200;8;;;
180214;2300;9;;;
180215;0000;6;;;
180215;0100;5;;;
180215;0200;4;;;
180215;0300;3;;;
180215;0400;1;;;
180215;0500;3;;;
180215;0600;10;;;
180215;0700;7;;;
180215;0800;4;;;
180215;0900;3;;;
180215;1000;2;;;
180215;1100;3;;;
180215;1200;5;;;
180215;1300;2;;;
180215;1400;1;;;
180215;1500;5;;;
180215;1600;2;;;
180215;1700;1;;;
180215;1800;5;;;
180215;1900;8;;;
180215;2000;9;;;
180215;2100;6;;;
180215;2200;4;;;
180215;2300;4;;;
180216;0000;4;;;
180216;0100;3;;;
180216;0200;1;;;
180216;0300;3;;;
180216;0400;4;;;
180216;0500;7;;;
180216;0600;6;;;
180216;0700;14;;;
180216;0800;7;;;
180216;0900;7;;;
180216;1000;7;;;
180216;1100;5;;;
180216;1200;5;;;
180216;1300;6;;;
180216;1400;3;;;
180216;1500;2;;;
180216;1600;3;;;
180216;1700;5;;;
180216;1800;3;;;
180216;1900;7;;;
180216;2000;5;;;
180216;2100;5;;;
180216;2200;4;;;
180216;2300;4;;;
180217;0000;4;;;
180217;0100;6;;;
180217;0200;3;;;
180217;0300;1;;;
180217;0400;4;;;
180217;0500;7;;;
180217;0600;17;;;
180217;0700;19;;;
180217;0800;19;;;
180217;0900;7;;;
180217;1000;8;;;
180217;1100;7;;;
180217;1200;7;;;
180217;1300;3;;;
180217;1400;3;;;
180217;1500;3;;;
180217;1600;4;;;
180217;1700;5;;;
180217;1800;3;;;
180217;1900;3;;;
180217;2000;1;;;
180217;2100;1;;;
180217;2200;7;;;
180217;2300;7;;;
180218;0000;6;;;
180218;0100;3;;;
180218;0200;3;;;
180218;0300;1;;;
180218;0400;1;;;
180218;0500;1;;;
180218;0600;3;;;
180218;0700;3;;;
180218;0800;2;;;
180218;0900;7;;;
180218;1000;9;;;
180218;1100;9;;;
